,datum,tage,lebenszahl,paarsumme
392841,25.07.1076,392841,1,168
392871,24.08.1076,392871,1,168
392901,23.09.1076,392901,1,168
392930,22.10.1076,392930,1,168
392960,21.11.1076,392960,1,168
392989,20.12.1076,392989,1,168
393030,30.01.1077,393030,1,168
393087,28.03.1077,393087,1,168
393117,27.04.1077,393117,1,168
393146,26.05.1077,393146,1,168
393176,25.06.1077,393176,1,168
393205,24.07.1077,393205,1,168
393235,23.08.1077,393235,1,168
393265,22.09.1077,393265,1,168
393294,21.10.1077,393294,1,168
393324,20.11.1077,393324,1,168
393353,19.12.1077,393353,1,168
425141,31.12.1164,425141,1,168
425505,30.12.1165,425505,1,168
425810,31.10.1166,425810,1,168
425840,30.11.1166,425840,1,168
425869,29.12.1166,425869,1,168
426174,30.10.1167,426174,1,168
426204,29.11.1167,426204,1,168
426233,28.12.1167,426233,1,168
426480,31.08.1168,426480,1,168
426510,30.09.1168,426510,1,168
426539,29.10.1168,426539,1,168
426569,28.11.1168,426569,1,168
426598,27.12.1168,426598,1,168
426814,31.07.1169,426814,1,168
426844,30.08.1169,426844,1,168
426874,29.09.1169,426874,1,168
426903,28.10.1169,426903,1,168
426933,27.11.1169,426933,1,168
426962,26.12.1169,426962,1,168
427178,30.07.1170,427178,1,168
427208,29.08.1170,427208,1,168
427238,28.09.1170,427238,1,168
427267,27.10.1170,427267,1,168
427297,26.11.1170,427297,1,168
427326,25.12.1170,427326,1,168
427483,31.05.1171,427483,1,168
427513,30.06.1171,427513,1,168
427542,29.07.1171,427542,1,168
427572,28.08.1171,427572,1,168
427602,27.09.1171,427602,1,168
427631,26.10.1171,427631,1,168
427661,25.11.1171,427661,1,168
427690,24.12.1171,427690,1,168
427848,30.05.1172,427848,1,168
427878,29.06.1172,427878,1,168
427907,28.07.1172,427907,1,168
427937,27.08.1172,427937,1,168
427967,26.09.1172,427967,1,168
427996,25.10.1172,427996,1,168
428026,24.11.1172,428026,1,168
428055,23.12.1172,428055,1,168
428153,31.03.1173,428153,1,168
428183,30.04.1173,428183,1,168
428212,29.05.1173,428212,1,168
428242,28.06.1173,428242,1,168
428271,27.07.1173,428271,1,168
428301,26.08.1173,428301,1,168
428331,25.09.1173,428331,1,168
428360,24.10.1173,428360,1,168
428390,23.11.1173,428390,1,168
428419,22.12.1173,428419,1,168
428517,30.03.1174,428517,1,168
428547,29.04.1174,428547,1,168
428576,28.05.1174,428576,1,168
428606,27.06.1174,428606,1,168
428635,26.07.1174,428635,1,168
428665,25.08.1174,428665,1,168
428695,24.09.1174,428695,1,168
428724,23.10.1174,428724,1,168
428754,22.11.1174,428754,1,168
428783,21.12.1174,428783,1,168
428824,31.01.1175,428824,1,168
428881,29.03.1175,428881,1,168
428911,28.04.1175,428911,1,168
428940,27.05.1175,428940,1,168
428970,26.06.1175,428970,1,168
428999,25.07.1175,428999,1,168
429029,24.08.1175,429029,1,168
429059,23.09.1175,429059,1,168
