,datum,tage,lebenszahl,paarsumme
720123,19.08.1972,720123,1,168
720153,18.09.1972,720153,1,168
720182,17.10.1972,720182,1,168
720212,16.11.1972,720212,1,168
720241,15.12.1972,720241,1,168
720282,25.01.1973,720282,1,168
720312,24.02.1973,720312,1,168
720339,23.03.1973,720339,1,168
720369,22.04.1973,720369,1,168
720398,21.05.1973,720398,1,168
720428,20.06.1973,720428,1,168
720457,19.07.1973,720457,1,168
720487,18.08.1973,720487,1,168
720517,17.09.1973,720517,1,168
720546,16.10.1973,720546,1,168
720576,15.11.1973,720576,1,168
720605,14.12.1973,720605,1,168
720646,24.01.1974,720646,1,168
720676,23.02.1974,720676,1,168
720703,22.03.1974,720703,1,168
720733,21.04.1974,720733,1,168
720762,20.05.1974,720762,1,168
720792,19.06.1974,720792,1,168
720821,18.07.1974,720821,1,168
720851,17.08.1974,720851,1,168
720881,16.09.1974,720881,1,168
720910,15.10.1974,720910,1,168
720940,14.11.1974,720940,1,168
720969,13.12.1974,720969,1,168
721010,23.01.1975,721010,1,168
721040,22.02.1975,721040,1,168
721067,21.03.1975,721067,1,168
721097,20.04.1975,721097,1,168
721126,19.05.1975,721126,1,168
721156,18.06.1975,721156,1,168
721185,17.07.1975,721185,1,168
721215,16.08.1975,721215,1,168
721245,15.09.1975,721245,1,168
721274,14.10.1975,721274,1,168
721304,13.11.1975,721304,1,168
721333,12.12.1975,721333,1,168
721374,22.01.1976,721374,1,168
721404,21.02.1976,721404,1,168
721432,20.03.1976,721432,1,168
721462,19.04.1976,721462,1,168
721491,18.05.1976,721491,1,168
721521,17.06.1976,721521,1,168
721550,16.07.1976,721550,1,168
721580,15.08.1976,721580,1,168
721610,14.09.1976,721610,1,168
721639,13.10.1976,721639,1,168
721669,12.11.1976,721669,1,168
721698,11.12.1976,721698,1,168
721739,21.01.1977,721739,1,168
721769,20.02.1977,721769,1,168
721796,19.03.1977,721796,1,168
721826,18.04.1977,721826,1,168
721855,17.05.1977,721855,1,168
721885,16.06.1977,721885,1,168
721914,15.07.1977,721914,1,168
721944,14.08.1977,721944,1,168
721974,13.09.1977,721974,1,168
722003,12.10.1977,722003,1,168
722033,11.11.1977,722033,1,168
722062,10.12.1977,722062,1,168
